trade_id,timestamp,side,price,pnl,capital
1,2024-01-25,BUY,30822.544808,0.00,10000.00
1,2024-02-06,SELL,30027.066733,-25.81,9974.19
2,2024-02-28,BUY,29826.547941,0.00,9974.19
2,2024-03-05,SELL,29025.499068,-26.79,9947.40
3,2024-03-22,BUY,29411.498671,0.00,9947.40
3,2024-03-27,SELL,28636.351085,-26.22,9921.19
4,2024-05-26,BUY,27201.256041,0.00,9921.19
4,2024-06-12,SELL,27564.627494,13.25,9934.44
5,2024-06-29,BUY,27599.631836,0.00,9934.44
5,2024-07-04,SELL,26957.683610,-23.11,9911.33
6,2024-07-09,BUY,27774.723999,0.00,9911.33
6,2024-07-21,SELL,27370.044854,-14.44,9896.89
7,2024-08-02,BUY,27525.583901,0.00,9896.89
7,2024-08-04,SELL,27121.385754,-14.53,9882.36
8,2024-08-05,BUY,27335.883641,0.00,9882.36
8,2024-08-14,SELL,26895.522357,-15.92,9866.44
9,2024-08-30,BUY,26877.059499,0.00,9866.44
9,2024-09-07,SELL,26669.752110,-7.61,9858.83
10,2024-09-21,BUY,26966.113858,0.00,9858.83
10,2024-10-03,SELL,26431.159006,-19.56,9839.27
11,2024-10-13,BUY,26998.044052,0.00,9839.27
11,2024-10-26,SELL,27128.423460,4.75,9844.02
